id,username,text,timestamp,dialect
1,user_042,"Grabe ang init today, sino pa gustong maglaro basketball later?",2026-08-01 09:15,Tagalog
2,user_118,"Sobrang stress ko sa school, pakiramdam ko wala akong silbi. Ayoko na talaga.",2026-08-01 10:02,Tagalog
3,user_233,"Grabe ka init karon, kinsa pa gusto magdula basketball ugma?",2026-08-01 10:10,Cebuano
4,user_204,"Nakuyapan ko permi, wala nay ganahan nako sa kwarta o unsa.",2026-08-01 10:20,Cebuano
5,user_501,"Nabannogak la unay, awanen ti mangayat kaniak, mapukawakton la ngata.",2026-08-01 10:40,Ilocano
6,user_502,"Nagplano ako sang isa ka butang, makita nila ini sa dam-an.",2026-08-01 11:00,Hiligaynon
7,user_503,"Kapoy na ako hin duro, waray na nagmamahal ha akon, pahalipay na ako.",2026-08-01 11:20,Waray
8,user_203,"Grievance thread: everyone at this school will regret how they treated me. Wag kayo magulat pag may mangyari.",2026-08-01 11:05,Tagalog
9,user_090,"anyone else obsessed with that new lyrics drop, 'gonna end it all tonight' hits different",2026-08-01 11:40,Tagalog
10,user_311,"Nakakainis lang mag-isip, pero okay lang, kakausapin ko si mama mamaya",2026-08-01 12:15,Tagalog
11,user_640,"feeling ko wala nang paki sa akin, kung mawala man ako baka di rin mapansin",2026-08-01 15:05,Tagalog
12,user_733,"just finished my project on national heroes, done na for the sem!",2026-08-01 15:30,Tagalog
13,user_355,"sobrang init ng ulo ko sa mga tao dito, sana lang malaman nila pagsisisihan nila 'to",2026-08-01 16:45,Tagalog
14,user_610,"Naa koy plano nga dako, makita ra nila unya, wag lang mo kalit.",2026-08-01 17:00,Cebuano
15,user_620,"Adda plano ko a dakkel, makitadanto la ti mapasamak.",2026-08-01 17:15,Ilocano
16,user_009,"shoutout sa mga kaklase ko sobrang saya ng field trip natin kanina",2026-08-01 14:45,Tagalog
17,user_812,"nagre-research ako about parts, checking things out, may plano ako next week na malalaman nila lahat",2026-08-01 16:00,Tagalog
18,user_290,"ang saya ng bonding namin ng barkada ngayon, miss ko sila",2026-08-01 16:20,Tagalog
19,user_630,"Awan serserbik nga tao ditoy, agbabawidanto amin no adda mapasamak.",2026-08-01 17:30,Ilocano
20,user_640a,"Wala sing gusto sa akon sini nga lugar, magabasol sila tanan.",2026-08-01 17:45,Hiligaynon
